title;id
21s Bicep Curl;3BC06AD3
Ab Scissors;B4F2FF72
Ab Wheel;99D5F10E
Aerobics;5E0DDACE
Air Bike;43573BB8
Arnold Press (Dumbbell);A69FF221
Around The World;D4A2FE7E
Assisted Pistol Squats;5BFF35BA
Back Extension (Hyperextension);4F5866F8
Back Extension (Machine);A05C064D
Back Extension (Weighted Hyperextension);091737FA
Ball Slams;F51D9080
Band Pullaparts;E8D86EE8
Battle Ropes;084A67CA
Bear hold;643588e3-d943-4fba-92c4-e6e611539bb4
Behind the Back Bicep Wrist Curl (Barbell);DDB29047
Beinheben Gewichtet;783a7439-ab40-47f3-8a5a-dad3d82d29b1
Bench Dip;CD6DC8E5
Bench Press (Barbell);79D0BB3A
Bench Press (Cable);99C1F2AD
Bench Press - Close Grip (Barbell);35B51B87
Bench Press (Dumbbell);3601968B
Bench Press (Smith Machine);0FBF7195
Bench Press - Wide Grip (Barbell);E644F828
Bent Over Row (Band);EA820646
Bent Over Row (Barbell);55E6546F
Bent Over Row (Dumbbell);23E92538
Bicep Curl (Barbell);A5AC6449
Bicep Curl (Cable);ADA8623C
Bicep Curl (Dumbbell);37FCC2BB
Bicep Curl (Machine);AF328E3D
Bicep Curl (Suspension);0B4C1902
Bicycle Crunch;A41C7261
Bicycle Crunch Raised Legs;594450D2
Bird Dog;BD0AD077
Boxing;A0D8FA1B
Box Jump;56092DD1
Box Squat (Barbell);38FC1AB9
Bulgarian Split Squat;B5D3A742
Burpee;BB792A36
Burpee Over the Bar;86B00DDE
Butterfly (Pec Deck);9DCE2D64
Cable Core Palloff Press;CC55119B
Cable Crunch;23A48484
Cable Fly Crossovers;651F844C
Cable Pull Through;8C331CD8
Cable Twist (Down to up);92D858EA
Cable Twist (Up to down);A2D838BD
Calf Extension (Machine);47B9DF13
Calf Press (Machine);91237BDD
Chest Dip;6FCD7755
Chest Dip (Assisted);E9E4089F
Chest Dip (Weighted);29472BE1
Chest Fly (Band);DDB7C19F
Chest Fly (Dumbbell);12017185
Chest Fly (Machine);78683336
Chest Fly (Suspension);720B0D70
Chest Press (Band);EAC7D9C5
Chest Press (Machine);7EB3F7C3
Chest Supported Incline Row (Dumbbell);914F3A96
Chest Supported Reverse Fly (Dumbbell);B582299E
Chest Supported Y Raise (Dumbbell);F21D5693
Chin Up;29083183
Chin Up (Assisted);D23C609B
Chin Up (Weighted);023943F1
Clamshell;CC016611
Clap Push Ups;10D76E8F
Clean;ABB00838
Clean and Jerk;9E09CEC3
Clean and Press;D3095577
Clean Pull;652FEA39
Climbing;E23F1F2B
Concentration Curl;724CDE60
Cross Body Hammer Curl;32C4D4A2
Crunch;DCF3B31B
Crunch (Machine);EB43ADD4
Crunch (Weighted);D928C232
Curtsy Lunge (Dumbbell);D39EC9EB
Cycling;D8F7F851
Dead Bug;D8911FC4
Dead Hang;B9380898
Deadlift (Band);99507114
Deadlift (Barbell);C6272009
Deadlift (Dumbbell);5F4E6DD3
Deadlift High Pull;FA5D0DE1
Deadlift (Smith Machine);20870ED5
Deadlift (Trap bar);B923B230
Decline Bench Press (Barbell);DA0F0470
Decline Bench Press (Dumbbell);18487FA7
Decline Bench Press (Machine);FAF31231
Decline Bench Press (Smith Machine);FFC106CB
Decline Chest Fly (Dumbbell);A351AED7
Decline Crunch;BC10A922
Decline Crunch (Weighted);B2398CD1
Decline Push Up;C43825EA
Diamond Push Up;6575F52D
Downward Dog;7DA843A3
Drag Curl;D950429E
Dragon Flag;AFC29472
Dragonfly;B7192800
Dumbbell Row;F1E57334
Dumbbell Snatch;F3717B0E
Dumbbell Squeeze Press;F72FA239
Dumbbell Step Up;BF6ECE89
Egyptian Lateral Raises;d84a1d92-8e6d-4a5f-ac7b-c1d16449cf91
Elbow to Knee;A01BE509
Elliptical Trainer;3303376C
EZ Bar Biceps Curl;01A35BF9
Face Pull;BE640BA0
Farmers Walk;50C613D0
Fire Hydrants;2AF8B552
Floor Press (Barbell);D53F2886
Floor Press (Dumbbell);756EE329
Floor Triceps Dip;A57D38D5
Flutter Kicks;2FA77B28
Frog Jumps;207DC636
Frog Pumps (Dumbbell);F6948F17
Front Lever Hold;0E+00
Front Lever Raise;30F03BF0
Front Raise (Band);47B036EF
Front Raise (Barbell);BD86EFD5
Front Raise (Cable);DBB91A3C
Front Raise (Dumbbell);8293E554
Front Raise (Suspension);796E8E2C
Front Squat;5046D0A9
Full Squat;1283BBA6
Glute Bridge;CDA23948
Glute Ham Raise;68B83EE0
Glute Kickback (Machine);CBA02382
Glute Kickback on Floor;987234AB
Goblet Squat;3D0C7C75
Good Morning (Barbell);4180C405
Gorilla Row (Kettlebell);5487216
Hack Squat;AC5A4C58
Hack Squat (Machine);1E42FD5F
Hammer Curl (Band);1D4B3D6B
Hammer Curl (Cable);36E8F14E
Hammer Curl (Dumbbell);7E3BC8B6
Handstand Hold;BE3615CF
Handstand Push Up;90B04F96
Hang Clean;BD4E7E53
Hanging Knee Raise;8590920
Hanging Leg Raise;F8356514
Hang Snatch;F4E77594
Heel Taps;567FB505
Hex Press (Dumbbell);BE89C631
High Knees;150E076B
High Knee Skips;C9CCB878
HIIT;023947AB
Hiking;1C34A172
Hip Abduction (Machine);F4B4C6EE
Hip Adduction (Machine);8BEBFED6
Hip Thrust;92B8C7E1
Hip Thrust (Barbell);D57C2EC7
Hip Thrust (Machine);68CE0B9B
Hollow Rock;970ADF87
Incline Bench Press (Barbell);50DFDFAB
Incline Bench Press (Dumbbell);07B38369
Incline Bench Press (Smith Machine);3A6FA3D1
Incline Chest Fly (Dumbbell);D3E2AB55
Incline Chest Press (Machine);FBF92739
Incline Push Ups;39C99849
Inverted Row;425805F4
Iso-Lateral Chest Press (Machine);24706DCD
Iso-Lateral High Row (Machine);BC3492DA
Iso-Lateral Low Row;91FAFBA3
Iso-Lateral Row (Machine);AA1EB7D8
Jackknife Sit Up;32B0B590
Jack Knife (Suspension);D410F649
JM Press (Barbell);74103F24
Jumping Jack;991833C2
Jumping Lunge;5CC07A1F
Jump Rope;040BA2E3
Jump Shrug;BA3DE542
Jump Squat;70D4EBBF
Kettlebell Clean;F99C211D
Kettlebell Curl;4E239ED8
Kettlebell Goblet Squat;A127DA73
Kettlebell High Pull;9B13BA4B
Kettlebell Shoulder Press;6433CD93
Kettlebell Snatch;89304423
Kettlebell Swing;F8A0FCCA
Kettlebell Turkish Get Up;5F8903BF
Kipping Pull Up;A91838C0
Kneeling Pulldown (band);D82EA543
Kneeling Push Up;B74A95BB
Knee Raise Parallel Bars;98237BA2
Landmine 180;923874CA
Landmine Row;D7D7FCCE
Landmine Squat and Press;983274DD
Lastzug hinten;32ab254f-d42c-439b-819d-d7983c598e3f
Lateral Band Walks;EC02979E
Lateral Box Jump;07EBC4DC
Lateral Leg Raises;DC59D143
Lateral Lunge;F2A37357
Lateral Raise (Band);DF200976
Lateral Raise (Cable);BE289E45
Lateral Raise (Dumbbell);422B08F1
Lateral Raise (Machine);D5D0354D
Lateral Squat;D731CCA8
Lat Pulldown (Band);D2FE7B2E
Lat Pulldown (Cable);6A6C31A5
Lat Pulldown - Close Grip (Cable);4E5257DE
Lat Pulldown (Machine);473CF5B8
Leg Extension (Machine);75A4F6C4
Leg Press Horizontal (Machine);0EB695C9
Leg Press (Machine);C7973E0E
Leg Raise Parallel Bars;0482DA98
Low Cable Fly Crossovers;293483AD
Low Row (Suspension);8A2E6481
L-Sit Hold;6D54A050
Lunge;5E1A7777
Lunge (Barbell);6E6EE645
Lunge (Dumbbell);B537D09F
Lying Knee Raise;BD5935CF
Lying Leg Curl (Machine);B8127AD1
Lying Leg Raise;09C9F635
Lying Neck Curls;22FEDCA4
Lying Neck Curls (Weighted);31B8DA0F
Lying Neck Extension;0910BD28
Lying Neck Extension (Weighted);D6A73CF2
martillo Chin ups;276e5450-aa31-4359-ac5d-4a272a6b2e34
Meadows Rows (Barbell);C732C341
Mountain Climber;F49E31D6
Muscle Up;9F9C164B
Negative dips;3233ce7c-54d7-459b-9d09-e98b74d68c76
Negative Pull Up;F60BDDF8
Nippard Bizep curl;e3a2f7d8-627a-4de6-80c6-48efb73c60d6
Nordic Hamstrings Curls;108D7A14
Oblique Crunch;DBE341AA
One Arm Push Up;B140095E
Overhead Curl (Cable);582ADA23
Overhead Dumbbell Lunge;4C6721B9
Overhead Press (Barbell);7B8D84E8
Overhead Press (Dumbbell);6AC96645
Overhead Press (Smith Machine);B09A1304
Overhead Squat;2CFED196
